"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1.4.2,"Γραφική διεπαφή πελάτη",task,2024-03-22,2024-04-20,0,0,0,,,,,blue2
1.4.3,"Σύστημα πληρωμών και διαχείριση  πορτοφολιού χρήστη",task,2024-04-21,2024-05-04,0,0,0,,,,,blue2
1.4.4,"Λειτουργία γκαράζ και επιλογής οχήματος",task,2024-05-05,2024-05-06,0,0,0,,,,,blue2
1.4.5,"Λειτουργία ενοικίασης εκτός πόλης",task,2024-05-10,2024-05-24,0,0,0,,,,,blue2
1.4.6,"Λειτουργία ενοικίασης εντός πόλης",task,2024-05-25,2024-05-29,0,0,0,,,,,blue2
1.4.7,"Δημιουργία, αποδοχή και ολοκλήρωση αιτημάτων ταξί",task,2024-06-19,2024-07-02,0,0,0,,,,,blue2
1.4.8,"Σύστημα αξιολόγησης",task,2024-07-03,2024-07-05,0,0,0,,,,,blue2
1.4.9,"Έλεγχος συστήματος και διόρθωση σφαλμάτων",task,2024-07-08,2024-08-06,0,0,0,,,,,blue2
1.4.10,"Στρατηγική μάρκετινγκ και διαφήμιση",task,2024-08-07,2024-08-20,0,0,0,,,,,blue2
1.4.11,"Συλλογή feedback από πρώτους χρή",task,2024-08-21,2024-09-05,0,0,0,,,,,blue2
1.4.12,"Τελικές διορθώσεις",task,2024-09-06,2024-09-20,0,0,0,,,,,blue2
1.4.13,"Συγγραφή όρων χρήσης",task,2024-09-21,2024-09-25,0,0,0,,,,,blue2
